letter;lower;nametrad;namereformed;namepron;nameproneast;namepronwest;pron;proneast;pronwest;translit;ISO9985;numeric;freq;cyrillic;extra
Ա;ա;այբ;;aɪb;;aɪpʰ;ɑ;;;a;;1;0.145914738098944;а;
Բ;բ;բեն;;bɛn;;pʰɛn;b;;pʰ;b;;2;0.0110845764516667;б;
Գ;գ;գիմ;;gim;;kʰim;g;;kʰ;g;;3;0.0139291977506927;г;
Դ;դ;դա;;dɑ;;tʰɑ;d;;tʰ;d;;4;0.0134459768248966;д;
Ե;ե;եչ;;jɛtʃʰ;;;ɛ,вначалесловаjɛ1;;;e;;5;0.0565343157137088;е;
Զ;զ;զա;;zɑ;;;z;;;z;;6;0.00617930155581689;з;
Է;է;է;;e;ɛ;;e;ɛ;;ē;ê;7;0.0106244022262099;э;
Ը;ը;ըթ;;ətʰ;;;ə;;;ə;ë;8;0.0139153950565334;ы – э;
Թ;թ;թօ;թո;tʰo;;;tʰ;;;t‘;;9;0.0163341589201684;т';
Ժ;ժ;ժէ;ժե;ʒɛː;ʒɛ;;ʒ;;;ž;;10;0.00255628428434107;ж;
Ի;ի;ինի;;ini;;;i;;;i;;20;0.0549011657451574;и;
Լ;լ;լիւն;լյուն;lʏn²;;;l;;;l;;30;0.0189849093498564;л;
Խ;խ;խէ;խե;χɛː;χɛ;;χ;;;x;;40;0.00574597293734881;х;
Ծ;ծ;ծա;;tsɑ;tsɑ;dzɑ;ts;;dz;c;ç;50;0.00760186546577318;тц;
Կ;կ;կեն;;kɛn;kɛn;gɛn;k;;g;k;;60;0.0346470416837565;к;
Հ;հ;հօ;հո;ho;;;h;;;h;;70;0.0182791991246306;h;
Ձ;ձ;ձա;;dzɑ;;tsʰɑ;dz;;tsʰ;j;;80;0.00224072177200254;дз;
Ղ;ղ;ղատ;;ɫɑt;ʁɑt;ʁɑd;l,orɫ;ʁ;;ł;ġ;90;0.00979446775355074;гх;
Ճ;ճ;ճէ;ճե;tʃɛː;tʃɛ;ʤɛ;tʃ;;ʤ;č;č̣;100;0.00169139987050794;тч;
Մ;մ;մեն;;mɛn;;;m;;;m;;200;0.0379313231123328;м;
Յ;յ;յի;հի;ji;hi;;j;h³,j;;y;;300;0.0266884588836102;й;
Ն;ն;նու;;nu;;;n,ŋ;;;n;;400;0.0885749275453529;н;
Շ;շ;շա;;ʃɑ;;;ʃ;;;š;;500;0.0074040690595642;ш;
Ո;ո;ո;;o;ʋɔ;;o,вначалесловаʋɔ4;;;o;;600;0.069470479266264;во;
Չ;չ;չա;;tʃʰɑ;;;tʃʰ;;;č‘;č;700;0.00461263245362896;ч;
Պ;պ;պէ;պե;pɛː;pɛ;bɛ;p;;b;p;;800;0.0102066491250042;п;
Ջ;ջ;ջէ;ջե;ʤɛː;ʤɛ;tʃʰɛ;ʤ;;tʃʰ;ǰ;;900;0.0052158988295442;дж;
Ռ;ռ;ռա;;rɑ;;ɾɑ;r;;ɾ;r̄;ṙ;1000;0.00601962084632296;р;
Ս;ս;սէ;սե;sɛː;sɛ;;s;;;s;;2000;0.0231806751138311;с;
Վ;վ;վեւ;վեվ;vɛv;;;v,ʋ;;;v;;3000;0.0240938056421108;в;
Տ;տ;տիւն;տյուն;tʏn;tʏn5;dʏn;t;;d;t;;4000;0.0285685377843687;т;
Ր;ր;րէ;րե;ɹɛː;ɾɛ6;ɾɛ;ɹ;ɾ;;r;;5000;0.0709928277908763;р';
Ց;ց;ցօ;ցո;tsʰo;;;tsʰ;;;c‘;;6000;0.0133711383639046;ц;
Ւ;ւ;հիւն;վյուն;hʏn;;;w;v8;;w;;7000;0.0376244980852877;w;
Փ;փ;փիւր;փյուր;pʰʏɹ9;;pʰʏɾ;pʰ;;;p‘;;8000;0.0024330730786808;п';
Ք;ք;քէ;քե;kʰɛː;kʰɛ;;kʰ;;;k‘;;9000;0.00996288594833816;к';
Եվ;և;և;և;ev;ev;;ev;;;ev;ev;-;0.00681675809157619;ев;ligature
Օ;օ;օ;;o;;;o;;;ô;ò;-;0.00172065145170786;о;
Ֆ;ֆ;ֆէ;ֆե;fɛː;fɛ;;f;;;f;;-;0.00187058163413515;ф;
